pertanyaan,jawaban,konteks
leres atanapi henteu salah sahiji kadaharan has daerah Bandung anu miboga bahan dasar daging sapi jeung jeroan teh namina soto Bandung,leres,Soto Bandung nyaeta salah sahiji kadaharan has daerah Bandung anu miboga bahan dasar daging sapi jeung jeroan
"leres atanapi henteu salah sahiji kadaharan has daerah Cirebon anu dijieun tina tahu goreng disamaraan ku bawang bereum, cabe rawit jeung gula teh namina tahu gejrot",leres,"Tahu gejrot nyaeta salah sahiji kadaharan has daerah Cirebon anu dijieun tina tahu goreng disamaraan ku bawang bereum, cabe rawit jeung gula"
leres atanapi henteu kadaharan anu dijieun tina béas ketan bodas nu meunang nutuan diolah ku cara digoreng atanapi dibeuleum teh namina Ulén ,leres,Ulén nyaeta kadaharan anu dijieun tina béas ketan bodas nu meunang nutuan diolah ku cara digoreng atanapi dibeuleum
leres atanapi henteu kadaharan anu dijieun tina rupa-rupa sayuran namina urab,leres,"Urab nyaeta kadaharan anu dijieun tina rupa-rupa sayuran kayaning pucuk sampeu, saladah cai, pucuk gedang, kembang gedang, jantung cau, peuteuy sélong nu geus kolot atawa gumading, gedang ngora, jeung sajabana"
"leres atanapi henteu salah sahiji kadaharan has Sukabumi nu dijieun tina parud sampeu, sapaliwat siga kicimpring, wangunna buleud leutik, ipis jeung garing sabab dipoe heula teh namina Ényé ",leres,"Ényé nyaéta salah sahiji kadaharan has Sukabumi nu dijieun tina parud sampeu, sapaliwat siga kicimpring, wangunna buleud leutik, ipis jeung garing sabab dipoe heula"
leres atanapi henteu pakakas tukang sapatu sabangsa paron tina beusi paragi sisinggel maku sapatu teh namina amleng,leres,amleng nyaéta parabot tukang sapatu sabangsa paron tina beusi paragi sisinggel maku sapatu
leres atanapi henteu pakakas tina beusi gedé anu ka luhur jeung ka handapna aya nu ngacung sabeulah gunana pikeun ngali jalan gedé atawa taneuh teuas loba batuna namina balincong,leres,Balincong nyaeta pakakas tina beusi gedé anu ka luhur jeung ka handapna aya nu ngacung sabeulah gunana pikeun ngali jalan gedé atawa taneuh teuas loba batuna
leres atanapi henteu pakakas tina kai anu dipaké mangsa keur ninun teh namina Baréra ,leres,Baréra nyaéta pakakas tina kai anu dipaké mangsa keur ninun
leres atanapi henteu wadah cai paranti nyipuh atawa nyéos beusi beunang meuleum sangkan leuwih teuas jeung seukeut teh namina cangkorah,leres,"Cangkorah nyaéta wadah cai paranti nyipuh atawa nyéos beusi beunang meuleum sangkan leuwih teuas jeung seukeut, awét dipakéna henteu gampang mintul atawa miley, wangunna kawas lisung aya ogé anu buleud kawas émbér"
leres atanapi henteu pakakas anu dipaké pikeun nyokot malam panas mangsa ngabatik namina canting,leres,Canting nyaéta pakakas anu dipaké pikeun nyokot malam panas mangsa ngabatik
"leres atanapi henteu hiji alat pikeun nyepeng, ngadempét, nyabut, atawa mindahkeun hiji barang sangkan henteu lesot mangsa keur dicokot atawa keur dipigawé namina capit",leres,"Capit nyaéta hiji alat pikeun nyepeng, ngadempét, nyabut, atawa mindahkeun hiji barang sangkan henteu lesot mangsa keur dicokot atawa keur dipigawé"
leres atanapi henteu wadah paranti sipatan anu sok dipaké nyieun gurat dina kai anu rék diragaji sangkan lempeng namina cedo,leres,Cedo nyaéta wadah paranti sipatan anu sok dipaké nyieun gurat dina kai anu rék diragaji sangkan lempeng
leres atanapi henteu alat akut nu diangkat ku cara digotong ku sababaraha urang namina dongdang,leres,Dongdang nyaeta alat akut nu diangkat ku cara digotong ku sababaraha urang
"leres atanapi henteu pakakas keur moé paré, wangunna siga terpal/bilik ngan kembang anyaman leuwih leutik tur rékép nu dijieun tina anyaman awi namina giribig",leres,"Giribig nyaéta pakakas keur moé paré, wangunna siga terpal/bilik ngan kembang anyaman leuwih leutik tur rékép nu dijieun tina anyaman awi"
leres atanapi henteu hiji pakakas paranti panyepengan pikeun ngajaga kasaimbangan mangsa keur ngaléngkah/lumampah namina iteuk,leres,Iteuk nyaéta hiji pakakas paranti panyepengan pikeun ngajaga kasaimbangan mangsa keur ngaléngkah/lumampah
leres atanapi henteu gagang tali useup anu dijieun tina tangkal awi atawa tangkal waregu beunang ngaraut namina jeujeur,leres,Jeujeur nyaéta gagang tali useup anu dijieun tina tangkal awi atawa tangkal waregu beunang ngaraut
"leres atanapi henteu pakakas pikeun nutu paré, kopi, kapol, jeung sajabana anu dijieun tina kai atawa batu gedé anu dilogakkeun kawas wadah namina jubleg",leres,"Jubleg nyaéta pakakas pikeun nutu paré, kopi, kapol, jeung sajabana anu dijieun tina kai atawa batu gedé anu dilogakkeun kawas wadah"
leres atanapi henteu hiji pakakas anu dipaké pikeun ngala lauk jeung sato cai séjéna di jero cai namina kecrik,leres,"Kecrik, disebut ogé heurap nyaéta hiji pakakas anu dipaké pikeun ngala lauk jeung sato cai séjéna di jero cai"
"leres atanapi henteu salah sahiji jajanan khas ti bandung anu miboga bahan dasar aci, digoreng dicampurkeun jeung endog namina comring",henteu,"comring nyaeta kadaharan sarupaning combro anu wangunna ipis jeung garing, dipoe saacan digoreng"
leres atanapi henteu kadaharan sarupaning combro anu wangunna ipis jeung garing namina cilor,henteu,"cilor nyaeta salah sahiji jajanan khas ti bandung anu miboga bahan dasar aci, digoreng dicampurkeun jeung endog"
"leres atanapi henteu kadaharan anu dijieun tina parud sampeu atanapi tipung beas, wangunna siga kembang nu ligar, warna-warni jeung ngarangkadak beukah namina docang",henteu,"docang nyaeta kadaharan mangrupa lontong, daun sampeu, toge jeung kurupuk anu dibanjur ku angeun oncom gembos anu ditutuan jeung parud dawegan"
"leres atanapi henteu kadaharan mangrupa lontong, daun sampeu, toge jeung kurupuk anu dibanjur ku angeun oncom gembos anu ditutuan jeung parud dawegan namina dapros",henteu,"dapros nyaeta kadaharan anu dijieun tina parud sampeu atanapi tipung beas, wangunna siga kembang nu ligar, warna-warni jeung ngarangkadak beukah"
"leres atanapi henteu salah sahiji kadaharan has Bogor anu dijieun tina campuran pesor, tahu, endog, bumbu kacang jeung kurupuk atanapi emping tangkil namina dodongkal",henteu,"dodongkal nyaeta kadaharan anu dijieun tina tipung beas dicampur gula beureum, ngasakanna ku cara diseupan tuluy dipurulukan kalapa parud"
"leres atanapi henteu kadaharan anu dijieun tina tipung beas dicampur gula beureum, ngasakanna ku cara diseupan tuluy dipurulukan kalapa parud namina doclang",henteu,"doclang nyaeta salah sahiji kadaharan khas Bogor anu dijieun tina campuran pesor, tahu, endog, bumbu kacang jeung kurupuk atanapi emping tangkil"
leres atanapi henteu kadaharan anu dijieun tina olahan beuti sampeu namina getuk lindri,henteu,getuk lindri nyaeta kadaharan anu dijieun tina seupan sampeu anu dilembutkeun nepi ka dalit
leres atanapi henteu kadaharan anu dijieun tina seupan sampeu anu dilembutkeun nepi ka dalit namina getuk deblo,henteu,deblo nyaeta kadaharan anu dijieun tina olahan beuti sampeu
leres atanapi henteu kadaharan anu dijieun tina hampas tahu anu dibulen ku tipung tuluy digoreng namina geco,henteu,geco nyaeta salah sahiji kadaharan has Cianjur anu mangrupa singgetan tina toge jeung tauco
leres atanapi henteu salah sahiji kadaharan has Cianjur anu mangrupa singgetan tina toge jeung tauco namina golono,henteu,golono nyaeta kadaharan anu dijieun tina hampas tahu anu dibulen ku tipung tuluy digoreng
leres atanapi henteu kadaharan khas cikalong dijieunna tina kalapa tuluy dibungkus ku daun kalapa garing namina karoket,henteu,karoket nyaeta kadaharan anu wangunna buleud panjang aya bagean kulitna nu garing jeung aya eusian
leres atanapi henteu kadaharan anu wangunna buleud panjang aya bagean kulitna nu garing jeung aya eusian namina gulampo,henteu,gulampo nyaeta kadaharan khas cikalong dijieunna tina kalapa tuluy dibungkus ku daun kalapa garing
leres atanapi henteu salah sahiji kadaharan has Kabupaten Kuningan  namina katimus,henteu,"katimus nyaeta kadaharan anu dijieun tina parudan sampeu dicampur gula beureum anu diwangun paranjang, dibungkus daun cau"
"leres atanapi henteu kadaharan anu dijieun tina parudan sampeu dicampur gula beureum anu diwangun paranjang, dibungkus daun cau namina kasreng",henteu,kasreng nyaeta salah sahiji kadaharan has Kabupaten Kuningan 
leres atanapi henteu kadaharan anu dijieun tina kentang anu diwangun siga korek api digoreng make bumbu balado namina kicimpring,henteu,kicimpring nyaeta kadaharan anu dijieun tina adonan sampeu anu digepengkeun tuluy dipoe
leres atanapi henteu kadaharan anu dijieun tina adonan sampeu anu digepengkeun tuluy dipoe namina kentang mustofa,henteu,kentang mustofa nyaeta kadaharan anu dijieun tina kentang anu diwangun siga korek api digoreng make bumbu balado
leres atanapi henteu kadaharan anu dijieun tina ketan dieusian ku campuran parudan kalapa atanapi kacang hejo jeung gula bereum namina kolontong,henteu,kolontong atanapi kokolontong nyaeta kadaharan anu dijieun tina beas ketan jeung gula bereum
leres atanapi henteu kadaharan anu dijieun tina beas ketan jeung gula bereum namina koci,henteu,koci nyaeta kadaharan anu dijieun tina ketan dieusian ku campuran parudan kalapa atanapi kacang hejo jeung gula bereum
"leres atanapi henteu salah sahiji kadaharan has Cirebon anu miboga bahan dasar aci hui, diolah ku cara disangray namina kue balok",henteu,"kueh balok nyaeta kadaharan anu miboga wangun pasagi panjang ciga balok, rasana rupa-rupa ngaluyukeun jeung kamajuan jaman"
"leres atanapi henteu kadaharan anu miboga wangun pasagi panjang ciga balok, rasana rupa-rupa ngaluyukeun jeung kamajuan jaman namina kurupuk malarat",henteu,"kurupuk malarat nyaeta salah sahiji kadaharan has Cirebon anu miboga bahan dasar aci hui, diolah ku cara disangray"
"leres atanapi henteu kueh anu biasana ngawengku saeutikna dua warna paselang-selang, miboga bahan dasar tipung beas namina lagodeh",henteu,Lagodeh atanapi ciwang nyaeta salah sahiji kadaharan has Sukabumi anu dijieun tina aci kawung jeung goreng bawang
leres atanapi henteu salah sahiji kadaharan has Sukabumi anu dijieun tina aci kawung jeung goreng bawang namina kueh lapis,henteu,"kueh lapis nyaeta kueh anu biasana ngawengku saeutikna dua warna paselang-selang, miboga bahan dasar tipung beas"
leres atanapi henteu salah sahiji kadaharan anu dijieun tina beas ketan bodas anu eusina bisa abon atanapi daging hayam kalawan dibungkus ku daun cau namina misro,henteu,misro nyaeta kadaharan anu dijieun tina parudan sampeu anu dibentuk lonjong dieusian ku gula bereum
leres atanapi henteu kadaharan anu dijieun tina parudan sampeu anu dibentuk lonjong dieusian ku gula bereum namina lemper,henteu,lemper nyaeta salah sahiji kadaharan anu dijieun tina beas ketan bodas anu eusina bisa abon atanapi daging hayam kalawan dibungkus ku daun cau
leres atanapi henteu kadaharan anu dijieun tina aci kawung dilimpudan ku kalapa parud tur mibanda rasa amis namina pindang gunung,henteu,Pindang gunung nyaéta kadaharan nu kaasup kana wengkuan angeun lauk kalawan miboga rasa nu has tina bungbu anu dipakéna
leres atanapi henteu kadaharan nu kaasup kana wengkuan angeun lauk kalawan miboga rasa nu has tina bungbu anu dipakéna namina ongol-ongol,henteu,ongol-ongol nyaeta kadaharan anu dijieun tina aci kawung dilimpudan ku kalapa parud tur mibanda rasa amis
"leres atanapi henteu salah sahiji kadaharan nu dijieun tina sampeu, gula, cau nangka, parud kalapa, jeung dibungkus ku daun cau teh namina putu mayang",henteu,"putu mayang nyaeta kadaharan anu dijeun tina aci hui atanapi tipung beas anu wangunna siga emih, dicampuran ku cipati kalapa, sarta disuguhkeun jeung kinca atawa gula beureum cair"
"leres atanapi henteu kadaharan anu dijeun tina aci hui atanapi tipung beas anu wangunna siga emih, dicampuran ku cipati kalapa teh namina putri noong",henteu,"Putri Noong nyaéta salah sahiji kadaharan nu dijieun tina sampeu, gula, cau nangka, parud kalapa, jeung dibungkus ku daun cau"
"leres atanapi henteu kadaharan mangrupa goréngan tipung béas nu dicampur ku cai nepi ka ngabentuk adonan kintel ditambahan eusi nu has, biasana mah suuk, teri, hurang, atawa kedelé namina ranginang",henteu,ranginang nyaeta kadaharan anu dijieun tina beas ketan anu diseupan tuluy dipoe saacan digoreng garing
leres atanapi henteu kadaharan anu dijieun tina beas ketan anu diseupan tuluy dipoe saacan digoreng garing namina peye,henteu,"péyé nyaeta kadaharan mangrupa goréngan tipung béas nu dicampur ku cai nepi ka ngabentuk adonan kintel, disamaraan basajan kayaning uyah, bawang bodas, jeung ditambahan eusi nu has, biasana mah suuk, teri, hurang, atawa kedelé"
leres atanapi henteu salah sahiji kadaharan has Kuningan nu dijeunna tina kacang beureum dicampur jeung parutan kalapa jeung tipung tapioka teh namina sale,henteu,Salé cau nyaéta kadaharan hasil olahan tina cau nu dikeureutan aripis tuluy dipoé nepi ka garing
leres atanapi henteu kadaharan hasil olahan tina cau nu dikeureutan aripis tuluy dipoé nepi ka garing teh namina rarawuan,henteu,Rarawuan nyaéta salah sahiji kadaharan has Kuningan nu dijeunna tina kacang beureum dicampur jeung parutan kalapa jeung tipung tapioka
leres atanapi henteu salah sahiji kadaharan anu bahan utamana parudan kalapa nu digoréng teh namina soto bandung,henteu,Soto Bandung nyaeta salah sahiji kadaharan has daerah Bandung anu miboga bahan dasar daging sapi jeung jeroan
leres atanapi henteu salah sahiji kadaharan has daerah Bandung anu miboga bahan dasar daging sapi jeung jeroan teh namina surundeng,henteu,Surundéng nyaéta salah sahiji kadaharan anu bahan utamana parudan kalapa nu digoréng
"leres atanapi henteu salah sahiji kadaharan has daerah Cirebon anu dijieun tina tahu goreng disamaraan ku bawang bereum, cabe rawit jeung gula teh namina ulen",henteu,Ulén nyaeta kadaharan anu dijieun tina béas ketan bodas nu meunang nutuan diolah ku cara digoreng atanapi dibeuleum
leres atanapi henteu kadaharan anu dijieun tina béas ketan bodas nu meunang nutuan diolah ku cara digoreng atanapi dibeuleum teh namina tahu gejrot,henteu,"Tahu gejrot nyaeta salah sahiji kadaharan has daerah Cirebon anu dijieun tina tahu goreng disamaraan ku bawang bereum, cabe rawit jeung gula"
leres atanapi henteu kadaharan anu dijieun tina rupa-rupa sayuran namina enye,henteu,"Ényé nyaéta salah sahiji kadaharan has Sukabumi nu dijieun tina parud sampeu, sapaliwat siga kicimpring, wangunna buleud leutik, ipis jeung garing sabab dipoe heula"
"leres atanapi henteu salah sahiji kadaharan has Sukabumi nu dijieun tina parud sampeu, sapaliwat siga kicimpring, wangunna buleud leutik, ipis jeung garing sabab dipoe heula teh namina urab",henteu,"Urab nyaeta kadaharan anu dijieun tina rupa-rupa sayuran kayaning pucuk sampeu, saladah cai, pucuk gedang, kembang gedang, jantung cau, peuteuy sélong nu geus kolot atawa gumading, gedang ngora, jeung sajabana"
leres atanapi henteu pakakas tukang sapatu sabangsa paron tina beusi paragi sisinggel maku sapatu teh namina balincong,henteu,Balincong nyaeta pakakas tina beusi gedé anu ka luhur jeung ka handapna aya nu ngacung sabeulah gunana pikeun ngali jalan gedé atawa taneuh teuas loba batuna
leres atanapi henteu pakakas tina beusi gedé anu ka luhur jeung ka handapna aya nu ngacung sabeulah gunana pikeun ngali jalan gedé atawa taneuh teuas loba batuna namina amleng,henteu,amleng nyaéta parabot tukang sapatu sabangsa paron tina beusi paragi sisinggel maku sapatu
leres atanapi henteu pakakas tina kai anu dipaké mangsa keur ninun teh namina cangkorah,henteu,"Cangkorah nyaéta wadah cai paranti nyipuh atawa nyéos beusi beunang meuleum sangkan leuwih teuas jeung seukeut, awét dipakéna henteu gampang mintul atawa miley, wangunna kawas lisung aya ogé anu buleud kawas émbér"
leres atanapi henteu wadah cai paranti nyipuh atawa nyéos beusi beunang meuleum sangkan leuwih teuas jeung seukeut teh namina barera,henteu,Baréra nyaéta pakakas tina kai anu dipaké mangsa keur ninun
leres atanapi henteu pakakas anu dipaké pikeun nyokot malam panas mangsa ngabatik namina capit,henteu,"Capit nyaéta hiji alat pikeun nyepeng, ngadempét, nyabut, atawa mindahkeun hiji barang sangkan henteu lesot mangsa keur dicokot atawa keur dipigawé"
"leres atanapi henteu hiji alat pikeun nyepeng, ngadempét, nyabut, atawa mindahkeun hiji barang sangkan henteu lesot mangsa keur dicokot atawa keur dipigawé namina canting",henteu,Canting nyaéta pakakas anu dipaké pikeun nyokot malam panas mangsa ngabatik
leres atanapi henteu wadah paranti sipatan anu sok dipaké nyieun gurat dina kai anu rék diragaji sangkan lempeng namina dongdang,henteu,Dongdang nyaeta alat akut nu diangkat ku cara digotong ku sababaraha urang
leres atanapi henteu alat akut nu diangkat ku cara digotong ku sababaraha urang namina cedo,henteu,Cedo nyaéta wadah paranti sipatan anu sok dipaké nyieun gurat dina kai anu rék diragaji sangkan lempeng
"leres atanapi henteu pakakas keur moé paré, wangunna siga terpal/bilik ngan kembang anyaman leuwih leutik tur rékép nu dijieun tina anyaman awi namina iteuk",henteu,Iteuk nyaéta hiji pakakas paranti panyepengan pikeun ngajaga kasaimbangan mangsa keur ngaléngkah/lumampah
leres atanapi henteu hiji pakakas paranti panyepengan pikeun ngajaga kasaimbangan mangsa keur ngaléngkah/lumampah namina gibrig,henteu,"Giribig nyaéta pakakas keur moé paré, wangunna siga terpal/bilik ngan kembang anyaman leuwih leutik tur rékép nu dijieun tina anyaman awi"
leres atanapi henteu gagang tali useup anu dijieun tina tangkal awi atawa tangkal waregu beunang ngaraut namina jubleg,henteu,"Jubleg nyaéta pakakas pikeun nutu paré, kopi, kapol, jeung sajabana anu dijieun tina kai atawa batu gedé anu dilogakkeun kawas wadah"
"leres atanapi henteu pakakas pikeun nutu paré, kopi, kapol, jeung sajabana anu dijieun tina kai atawa batu gedé anu dilogakkeun kawas wadah namina jeujeur",henteu,Jeujeur nyaéta gagang tali useup anu dijieun tina tangkal awi atawa tangkal waregu beunang ngaraut
leres atanapi henteu hiji pakakas anu dipaké pikeun ngala lauk jeung sato cai séjéna di jero cai namina urek,henteu,urek nyaeta alat paranti ngurek atawa ngala belut
leres atanapi henteu alat paranti ngala belut namina kecrik,henteu,"Kecrik, disebut ogé heurap nyaéta hiji pakakas anu dipaké pikeun ngala lauk jeung sato cai séjéna di jero cai"
leres atanapi henteu kikir pakakas paranti ngadek,henteu,kikir nyaeta pakakas paranti ngasah ragaji
leres atanapi henteu kikir pakakas paranti ngored,henteu,kikir nyaeta pakakas paranti ngasah ragaji
leres atanapi henteu talenan pakakas paranti muterkeun baud,henteu,talenan nyaeta tiatakan paranti nyiksik bawang jeung sajabana
leres atanapi henteu bedog pakakas paranti ngeureut bawang,henteu,bedog nyaeta pakakas paranti ngadek 
leres atanapi henteu bedog pakakas paranti ngala lauk,henteu,bedog nyaeta pakakas paranti ngadek 
leres atanapi henteu palu paranti miceun jujukutan,henteu,palu nyaeta pakakas paranti nakol paku jang makuan kai jeung sajabana
leres atanapi henteu palu paranti neunggeul nu beurat,henteu,palu nyaeta pakakas paranti nakol paku jang makuan kai jeung sajabana
leres atanapi henteu palu pakakas khas orang sunda,henteu,palu nyaeta pakakas paranti nakol paku jang makuan kai jeung sajabana
leres atanapi henteu palu pakakas paranti ngaliangan awi,henteu,palu nyaeta pakakas paranti nakol paku jang makuan kai jeung sajabana
leres atanapi henteu palu pakakas paranti motongan kai,henteu,palu nyaeta pakakas paranti nakol paku jang makuan kai jeung sajabana
leres atanapi henteu bedog pakakas paranti ngawaluku,henteu,bedog nyaeta pakakas paranti ngadek 
leres atanapi henteu palu pakakas paranti ngawaluku,henteu,palu nyaeta pakakas paranti nakol paku jang makuan kai jeung sajabana
leres atanapi henteu palu pakakas paranti ngasah ragaji,henteu,palu nyaeta pakakas paranti nakol paku jang makuan kai jeung sajabana
leres atanapi henteu bedog pakakas paranti ngasah ragaji,henteu,bedog nyaeta pakakas paranti ngadek 
leres atanapi henteu kikir pakakas paranti motongan kai,henteu,kikir nyaeta pakakas paranti ngasah ragaji
leres atanapi henteu kikir pakakas paranti ngala lauk,henteu,kikir nyaeta pakakas paranti ngasah ragaji
leres atanapi henteu kikir pakakas paranti nyacar,henteu,kikir nyaeta pakakas paranti ngasah ragaji
leres atanapi henteu kikir pakakas paranti ngababad jukut,henteu,kikir nyaeta pakakas paranti ngasah ragaji
leres atanapi henteu bedog pakakas paranti nyacar,henteu,bedog nyaeta pakakas paranti ngadek 
leres atanapi henteu bedog pakakas paranti ngawaluku,henteu,bedog nyaeta pakakas paranti ngadek 
leres atanapi henteu bedog paranti maculan taneuh,henteu,bedog nyaeta pakakas paranti ngadek 
leres atanapi henteu kikir pakakas paranti maculan taneuh,henteu,kikir nyaeta pakakas paranti ngasah ragaji
leres atanapi henteu kikir pakakas paranti nugar,henteu,kikir nyaeta pakakas paranti ngasah ragaji
leres atanapi henteu bedog pakakas paranti nugar,henteu,bedog nyaeta pakakas paranti ngadek 
leres atanapi henteu pacul pakakas paranti nyacar,henteu,pacul nyaeta pakakas paranti macul taneuh
leres atanapi henteu pacul pakakas paranti ngaliangan awi,henteu,pacul nyaeta pakakas paranti macul taneuh
leres atanapi henteu pacul pakakas paranti neunggeul nu beurat,henteu,pacul nyaeta pakakas paranti macul taneuh
leres atanapi henteu pacul pakakas paranti nugar,henteu,pacul nyaeta pakakas paranti macul taneuh
leres atanapi henteu pacul pakakas paranti ngasah ragaji,henteu,pacul nyaeta pakakas paranti macul taneuh
leres atanapi henteu pacul pakakas paranti ngala lauk,henteu,pacul nyaeta pakakas paranti macul taneuh
leres atanapi henteu kampak pakakas paranti nyacar,henteu,kampak nyaeta pakakas paranti meulahan sabangsaning tatangkalan atawa kai
leres atanapi henteu kampak pakakas khas sunda,henteu,kampak nyaeta pakakas paranti meulahan sabangsaning tatangkalan atawa kai
leres atanapi henteu kampak pakakas paranti ngala lauk,henteu,kampak nyaeta pakakas paranti meulahan sabangsaning tatangkalan atawa kai
leres atanapi henteu kampak pakakas paranti ngasah ragahji,henteu,kampak nyaeta pakakas paranti meulahan sabangsaning tatangkalan atawa kai
leres atanapi henteu kampak pakakas paranti ngaliangan awi,henteu,kampak nyaeta pakakas paranti meulahan sabangsaning tatangkalan atawa kai
leres atanapi henteu kampak pakakas paranti ngala pare,henteu,kampak nyaeta pakakas paranti meulahan sabangsaning tatangkalan atawa kai
leres atanapi henteu ragaji pakakas paranti ngala lauk,henteu,ragaji nyaeta pakakas anu sok digunakeun paranti motong kai
leres atanapi henteu ragaji pakakas paranti ngababad jukut,henteu,ragaji nyaeta pakakas anu sok digunakeun paranti motong kai
leres atanapi henteu ragaji pakakas paranti ngadek,henteu,ragaji nyaeta pakakas anu sok digunakeun paranti motong kai
leres atanapi henteu ragaji pakakas paranti naek ka luhur,henteu,ragaji nyaeta pakakas anu sok digunakeun paranti motong kai
leres atanapi henteu ragaji pakakas paranti maculan taneuh,henteu,ragaji nyaeta pakakas anu sok digunakeun paranti motong kai
leres atanapi henteu ragaji pakakas paranti ngawaluku,henteu,ragaji nyaeta pakakas anu sok digunakeun paranti motong kai
leres atanapi henteu ragaji pakakas paranti ngaumpulkeun jukut garing,henteu,ragaji nyaeta pakakas anu sok digunakeun paranti motong kai
leres atanapi henteu ragaji pakakas paranti maledogkeun batu,henteu,ragaji nyaeta pakakas anu sok digunakeun paranti motong kai
leres atanapi henteu ragaji pakakas paranti ngaratakeun taneuh,henteu,ragaji nyaeta pakakas anu sok digunakeun paranti motong kai
leres atanapi henteu ragaji pakakas paranti nugar,henteu,ragaji nyaeta pakakas anu sok digunakeun paranti motong kai
leres atanapi henteu ragaji pakakas paranti neunggeul nu beurat,henteu,ragaji nyaeta pakakas anu sok digunakeun paranti motong kai
leres atanapi henteu bedog pakakas paranti nyapukeun buruan imah,henteu,bedog nyaeta pakakas paranti ngadek 
leres atanapi henteu bedog pakakas paranti manah,henteu,bedog nyaeta pakakas paranti ngadek 
leres atanapi henteu bedog pakakas paranti nmaledogkeun batu,henteu,bedog nyaeta pakakas paranti ngadek 
leres atanapi henteu bedog pakakas paranti neunggeul nu beurat,henteu,bedog nyaeta pakakas paranti ngadek 
leres atanapi henteu bedog pakakas paranti naek ka luhur,henteu,bedog nyaeta pakakas paranti ngadek 
leres atanapi henteu ragaji pakakas khas sunda,henteu,ragaji nyaeta pakakas anu sok digunakeun paranti motong kai
leres atanapi henteu kampak pakakas paranti naek kaluhur,henteu,kampak nyaeta pakakas paranti meulahan sabangsaning tatangkalan atawa kai
leres atanapi henteu kampak pakakas paranti neunggeul nu beurat,henteu,kampak nyaeta pakakas paranti meulahan sabangsaning tatangkalan atawa kai
leres atanapi henteu kampak pakakas paranti ngait,henteu,kampak nyaeta pakakas paranti meulahan sabangsaning tatangkalan atawa kai
leres atanapi henteu obeng pakakas paranti muterkeun mur,henteu,obeng nyaeta pakakas anu sok digunakeun kanggo muterkeun baud
leres atanapi henteu obeng pakakas paranti ngala jukut atawa pare,henteu,obeng nyaeta pakakas anu sok digunakeun kanggo muterkeun baud
leres atanapi henteu obeng pakakas paranti meulah sabangsaning tatangkalan,henteu,obeng nyaeta pakakas anu sok digunakeun kanggo muterkeun baud
leres atanapi henteu obeng pakakas paranti ngaliangan awi,henteu,obeng nyaeta pakakas anu sok digunakeun kanggo muterkeun baud
leres atanapi henteu obeng pakakas paranti ngasah ragaji ,henteu,obeng nyaeta pakakas anu sok digunakeun kanggo muterkeun baud
leres atanapi henteu obeng pakakas khas sunda,henteu,obeng nyaeta pakakas anu sok digunakeun kanggo muterkeun baud
leres atanapi henteu obeng pakakas paranti ngala lauk,henteu,obeng nyaeta pakakas anu sok digunakeun kanggo muterkeun baud
leres atanapi henteu obeng pakakas paranti ngawaluku,henteu,obeng nyaeta pakakas anu sok digunakeun kanggo muterkeun baud
leres atanapi henteu obeng pakakas paranti ngala pare,henteu,obeng nyaeta pakakas anu sok digunakeun kanggo muterkeun baud
leres atanapi henteu obeng pakakas paranti nyacar,henteu,obeng nyaeta pakakas anu sok digunakeun kanggo muterkeun baud
leres atanapi henteu obeng pakakas parati ngasah ragaji,henteu,obeng nyaeta pakakas anu sok digunakeun kanggo muterkeun baud
leres atanapi henteu obeng pakakas paranti ngait,henteu,obeng nyaeta pakakas anu sok digunakeun kanggo muterkeun baud
leres atanapi henteu obeng pakakas paranti naek ka luhur,henteu,obeng nyaeta pakakas anu sok digunakeun kanggo muterkeun baud
leres atanapi henteu obeng pakakas nu bisa dijieun patik atawa rimbas,henteu,obeng nyaeta pakakas anu sok digunakeun kanggo muterkeun baud
leres atanapi henteu obeng pakakas paranti maculan taneuh,henteu,obeng nyaeta pakakas anu sok digunakeun kanggo muterkeun baud
leres atanapi henteu obeng pakakas paranti neunggeul nu beurat,henteu,obeng nyaeta pakakas anu sok digunakeun kanggo muterkeun baud
leres atanapi henteu obeng pakakas paranti nyapukeun buruan imah,henteu,obeng nyaeta pakakas anu sok digunakeun kanggo muterkeun baud
leres atanapi henteu obeng pakakas paranti nugar,henteu,obeng nyaeta pakakas anu sok digunakeun kanggo muterkeun baud
leres atanapi henteu obeng pakakas paranti maledogkeun batu,henteu,obeng nyaeta pakakas anu sok digunakeun kanggo muterkeun baud
leres atanapi henteu obeng pakakas paranti manah,henteu,obeng nyaeta pakakas anu sok digunakeun kanggo muterkeun baud
leres atanapi henteu obeng pakakas paranti ngaratakeun taneuh,henteu,obeng nyaeta pakakas anu sok digunakeun kanggo muterkeun baud
leres atanapi henteu obeng pakakas paranti ngeureutan sayur,henteu,obeng nyaeta pakakas anu sok digunakeun kanggo muterkeun baud
leres atanapi henteu obeng pakakas paranti ngumpulkeun jukut garing,henteu,obeng nyaeta pakakas anu sok digunakeun kanggo muterkeun baud
leres atanapi henteu obeng pakakas paranti ngakut es kacang,henteu,obeng nyaeta pakakas anu sok digunakeun kanggo muterkeun baud
leres atanapi henteu obeng pakakas nu bisa ngadek jeung nakol,henteu,obeng nyaeta pakakas anu sok digunakeun kanggo muterkeun baud
leres atanapi henteu kampak pakakas paranti ngakut es kacang,henteu,kampak nyaeta pakakas paranti meulahan sabangsaning tatangkalan atawa kai
